protocol_version,requested_storage_mode,workload,scenario,config,run_id,reference_mode,success,status,prime_elapsed_ms,measure_elapsed_ms,total_wall_clock_ms,fidelity_binary_equal,fidelity_visual_equal,changed_pages_count,missing_tool,storage_drive_letter,storage_file_system,defender_performance_mode_status,reference_pdf,pdf_path,mode_label
v0.2-prime-measure,d_repo_ntfs,W1_text_math,S0_clean_build,B7_windows_storage_mode,20260321-035920-424-cab3775e,False,True,ok,0.0,10024.89,10024.89,False,True,0,,D,NTFS,0,,,d_repo_ntfs
v0.2-prime-measure,d_repo_ntfs,W1_text_math,S0_clean_build,B7_windows_storage_mode,20260321-040458-036-ea3791f7,False,True,ok,0.0,10013.962,10013.962,False,True,0,,D,NTFS,0,,,d_repo_ntfs
v0.2-prime-measure,d_repo_ntfs,W1_text_math,S0_clean_build,B7_windows_storage_mode,20260321-041020-603-9b1faaa5,False,True,ok,0.0,9020.905,9020.905,False,True,0,,D,NTFS,0,,,d_repo_ntfs
v0.2-prime-measure,d_repo_ntfs,W1_text_math,S0_clean_build,B7_windows_storage_mode,20260321-041351-954-a0cd9cb7,False,True,ok,0.0,10026.949,10026.949,False,True,0,,D,NTFS,0,,,d_repo_ntfs
v0.2-prime-measure,d_repo_ntfs,W1_text_math,S0_clean_build,B7_windows_storage_mode,20260321-041511-411-fa77c679,False,True,ok,0.0,10016.778,10016.778,False,True,0,,D,NTFS,0,,,d_repo_ntfs
v0.2-prime-measure,d_repo_ntfs,W1_text_math,S1_text_edit,B7_windows_storage_mode,20260321-040146-088-825a1ca7,False,True,ok,9031.786,4024.758,13056.544,False,True,0,,D,NTFS,0,,,d_repo_ntfs
v0.2-prime-measure,d_repo_ntfs,W1_text_math,S1_text_edit,B7_windows_storage_mode,20260321-040612-214-02e378ff,False,True,ok,10010.917,4016.713,14027.63,False,True,0,,D,NTFS,0,,,d_repo_ntfs
v0.2-prime-measure,d_repo_ntfs,W1_text_math,S1_text_edit,B7_windows_storage_mode,20260321-040627-860-8ee001f0,False,True,ok,9022.25,4021.847,13044.097,False,True,0,,D,NTFS,0,,,d_repo_ntfs
v0.2-prime-measure,d_repo_ntfs,W1_text_math,S1_text_edit,B7_windows_storage_mode,20260321-041403-656-cb72f306,False,True,ok,9018.457,4029.245,13047.702,False,True,0,,D,NTFS,0,,,d_repo_ntfs
v0.2-prime-measure,d_repo_ntfs,W1_text_math,S1_text_edit,B7_windows_storage_mode,20260321-041714-611-91c51ed4,False,True,ok,9025.388,4025.365,13050.753,False,True,0,,D,NTFS,0,,,d_repo_ntfs
v0.2-prime-measure,d_repo_ntfs,W1_text_math,S3_figure_edit,B7_windows_storage_mode,20260321-040003-692-5fafd8ee,False,True,ok,9025.641,4018.434,13044.075,False,True,0,,D,NTFS,0,,,d_repo_ntfs
v0.2-prime-measure,d_repo_ntfs,W1_text_math,S3_figure_edit,B7_windows_storage_mode,20260321-040237-047-c8bd1985,False,True,ok,8008.541,4021.72,12030.261,False,True,0,,D,NTFS,0,,,d_repo_ntfs
v0.2-prime-measure,d_repo_ntfs,W1_text_math,S3_figure_edit,B7_windows_storage_mode,20260321-041031-247-ce88f1fa,False,True,ok,9022.873,4008.074,13030.947,False,True,0,,D,NTFS,0,,,d_repo_ntfs
v0.2-prime-measure,d_repo_ntfs,W1_text_math,S3_figure_edit,B7_windows_storage_mode,20260321-041455-690-64836de5,False,True,ok,10027.788,4036.554,14064.342,False,True,0,,D,NTFS,0,,,d_repo_ntfs
v0.2-prime-measure,d_repo_ntfs,W1_text_math,S3_figure_edit,B7_windows_storage_mode,20260321-041541-719-d70461b3,False,True,ok,9018.937,4021.527,13040.464,False,True,0,,D,NTFS,0,,,d_repo_ntfs
v0.2-prime-measure,d_repo_ntfs,W4_tikz,S0_clean_build,B7_windows_storage_mode,20260321-035456-609-1ec18329,False,True,ok,0.0,12011.01,12011.01,False,True,0,,D,NTFS,0,,,d_repo_ntfs
