protocol_version,workload,scenario,config,run_id,reference_mode,success,status,prime_elapsed_ms,measure_elapsed_ms,total_wall_clock_ms,fidelity_binary_equal,fidelity_visual_equal,changed_pages_count,missing_tool,reference_pdf,pdf_path
v0.2-prime-measure,W1_text_math,S0_clean_build,B0_baseline_xelatex,20260320-181510-237-ce93ed45,False,True,ok,0.0,7053.034,7053.034,False,True,0,,,
v0.2-prime-measure,W1_text_math,S0_clean_build,B0_baseline_xelatex,20260320-193102-828-c8d95814,False,True,ok,0.0,7054.395,7054.395,False,True,0,,,
v0.2-prime-measure,W1_text_math,S0_clean_build,B0_baseline_xelatex,20260320-195959-803-005e1fa0,False,True,ok,0.0,7068.9,7068.9,False,True,0,,,
v0.2-prime-measure,W1_text_math,S0_clean_build,B0_baseline_xelatex,20260320-201357-084-59d8c26b,False,True,ok,0.0,7071.487,7071.487,False,True,0,,,
v0.2-prime-measure,W1_text_math,S0_clean_build,B0_baseline_xelatex,20260320-204342-069-c3a40523,False,True,ok,0.0,7054.102,7054.102,False,True,0,,,
v0.2-prime-measure,W1_text_math,S0_clean_build,B0_baseline_xelatex,20260320-210212-654-dd6f6c25,False,True,ok,0.0,7080.723,7080.723,False,True,0,,,
v0.2-prime-measure,W1_text_math,S0_clean_build,B0_baseline_xelatex,20260320-211235-679-5834320c,False,True,ok,0.0,7060.949,7060.949,False,True,0,,,
v0.2-prime-measure,W1_text_math,S0_clean_build,B0_baseline_xelatex,20260320-214039-429-999083ae,False,True,ok,0.0,7056.914,7056.914,False,True,0,,,
v0.2-prime-measure,W1_text_math,S0_clean_build,B0_baseline_xelatex,20260320-220029-933-34c4a386,False,True,ok,0.0,7061.047,7061.047,False,True,0,,,
v0.2-prime-measure,W1_text_math,S0_clean_build,B0_baseline_xelatex,20260320-223319-511-f41b9ff6,False,True,ok,0.0,7060.582,7060.582,False,True,0,,,
v0.2-prime-measure,W1_text_math,S0_clean_build,B0_baseline_xelatex,20260320-225045-696-1e4c9f87,False,True,ok,0.0,7067.571,7067.571,False,True,0,,,
